,Quarter,Tm,Detail,TAM,STL
0,1.0,Buccaneers,Bobby Howard 1 yard rush (Donald Igwebuike kick),7,0
1,2.0,Cardinals,Vai Sikahema 71 yard punt return (Eric Schubert kick),7,7
2,2.0,Cardinals,Vai Sikahema 60 yard punt return (Eric Schubert kick),7,14
3,2.0,Cardinals,Neil Lomax 2 yard rush (Eric Schubert kick),7,21
4,3.0,Buccaneers,Donald Igwebuike 36 yard field goal,10,21
5,3.0,Buccaneers,Phil Freeman 33 yard pass from Steve Young (Donald Igwebuike kick),17,21
