,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,Jim Braxton 1 yard rush,6,0
1,2.0,Patriots,Don Calhoun 62 yard pass from Steve Grogan (John Smith kick),6,7
2,2.0,Bills,Bob Chandler 5 yard pass from Joe Ferguson (John Leypoldt kick),13,7
3,3.0,Bills,Jim Braxton 1 yard rush (John Leypoldt kick),20,7
4,3.0,Bills,O.J. Simpson 63 yard rush (John Leypoldt kick),27,7
5,4.0,Bills,J.D. Hill 41 yard pass from Gary Marangi (John Leypoldt kick),34,7
6,4.0,Patriots,Andy Johnson 20 yard rush (John Smith kick),34,14
