,Quarter,Tm,Detail,GNB,CHI
0,1,Bears,Joe Lintzenich 28 yard pass from Carl Brumbaugh (Cookie Tackwell kick),0,7
1,2,Packers,Johnny Blood 28 yard pass from Bo Molenda,6,7
