,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Wendell Tucker 93 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,1.0,49ers,Ken Willard 20 yard pass from John Brodie,6,7
2,1.0,Rams,Les Josephson 35 yard pass from Roman Gabriel (Bruce Gossett kick),6,14
3,1.0,Rams,Bruce Gossett 15 yard field goal,6,17
4,2.0,49ers,Momcilo Gavric 32 yard field goal,9,17
5,2.0,Rams,Bruce Gossett 39 yard field goal,9,20
6,3.0,Rams,Eddie Meador 38 yard interception return (Bruce Gossett kick),9,27
7,3.0,49ers,Ken Willard 3 yard rush (Momcilo Gavric kick),16,27
8,4.0,Rams,Jack Snow 8 yard pass from Roman Gabriel (Bruce Gossett kick),16,34
9,4.0,49ers,Bob Windsor 2 yard pass from John Brodie (Momcilo Gavric kick),23,34
10,4.0,49ers,Bill Tucker 3 yard pass from John Brodie (Momcilo Gavric kick),30,34
11,4.0,Rams,Roman Gabriel 9 yard rush (Bruce Gossett kick),30,41
