,Quarter,Time,Tm,Detail,BAL,DEN
0,1.0,4:46,Ravens,Matt Stover 24 yard field goal,3,0
1,2.0,4:54,Broncos,Jason Elam 43 yard field goal,3,3
2,4.0,8:03,Broncos,Jason Elam 44 yard field goal,3,6
3,4.0,1:55,Broncos,Rod Smith 4 yard pass from Jake Plummer (Jason Elam kick),3,13
