,Quarter,Tm,Detail,CLE,PHI
0,2.0,Eagles,Pete Retzlaff 2 yard pass from King Hill (Dave Lloyd kick),0,7
1,2.0,Browns,Jim Brown 4 yard rush (Lou Groza kick),7,7
2,2.0,Eagles,Dave Lloyd 42 yard field goal,7,10
3,3.0,Browns,Gary Collins 13 yard pass from Jim Ninowski (Lou Groza kick),14,10
4,4.0,Eagles,Earl Gros 2 yard pass from King Hill (Dave Lloyd kick),14,17
5,4.0,Browns,Jim Brown 2 yard rush (Lou Groza kick),21,17
6,4.0,Browns,Ross Fichtner 32 yard interception return (Lou Groza kick),28,17
7,4.0,Browns,Jim Brown 4 yard rush (Lou Groza kick),35,17
