,Quarter,Tm,Detail,PIT,RAM
0,2.0,Rams,Red Hickey 21 yard pass from Jim Hardy (Bob Waterfield kick),0,7
1,2.0,Rams,Frank Hubbell 8 yard pass from Jim Hardy (Bob Waterfield kick),0,14
2,3.0,Steelers,George Papach 1 yard rush (Joe Glamp kick),7,14
3,3.0,Rams,Tom Fears 29 yard pass from Bob Waterfield (Bob Waterfield kick),7,21
4,4.0,Rams,Bob Waterfield 47 yard field goal,7,24
5,4.0,Rams,Dante Magnani 16 yard pass from Jim Hardy (Fred Gehrke kick),7,31
6,4.0,Steelers,George Papach 28 yard pass from Ray Evans (Joe Glamp kick),14,31
