,Quarter,Tm,Detail,TAM,CHI
0,1.0,Buccaneers,Mike Washington 29 yard interception return (Garo Yepremian kick),7,0
1,2.0,Bears,Matt Suhey 1 yard rush (Hans Nielsen kick),7,7
2,2.0,Bears,Jeff Fisher 88 yard punt return (Hans Nielsen kick),7,14
3,3.0,Buccaneers,Kevin House 11 yard pass from Doug Williams (Garo Yepremian kick),14,14
4,3.0,Bears,Vince Evans 8 yard rush (Hans Nielsen kick),14,21
5,4.0,Buccaneers,Garo Yepremian 32 yard field goal,17,21
6,4.0,Bears,Dave Williams 18 yard pass from Vince Evans (Hans Nielsen kick),17,28
