,Quarter,Tm,Detail,WAS,ATL
0,1.0,Falcons,Greg Davis 33 yard field goal,0,3
1,1.0,Redskins,Chip Lohmiller 37 yard field goal,3,3
2,2.0,Redskins,Art Monk 34 yard pass from Doug Williams (Chip Lohmiller kick),10,3
3,2.0,Falcons,Michael Haynes 72 yard pass from Chris Miller (Greg Davis kick),10,10
4,2.0,Falcons,Michael Haynes 17 yard pass from Chris Miller (Greg Davis kick),10,17
5,2.0,Falcons,Greg Davis 24 yard field goal,10,20
6,2.0,Falcons,John Settle 3 yard rush (Greg Davis kick),10,27
7,3.0,Redskins,Art Monk 60 yard pass from Mark Rypien (Chip Lohmiller kick),17,27
8,3.0,Redskins,Earnest Byner 1 yard rush (Chip Lohmiller kick),24,27
9,3.0,Redskins,Mark Rypien 9 yard rush (Chip Lohmiller kick),31,27
10,3.0,Falcons,Greg Davis 32 yard field goal,31,30
