,Quarter,Time,Tm,Detail,NWE,TEN
0,2.0,12:16,Titans,Steve McNair 11 yard rush (Joe Nedney kick),0,7
1,2.0,0:32,Titans,Steve McNair 1 yard rush (Joe Nedney kick),0,14
2,3.0,13:08,Patriots,Tom Brady 10 yard rush (Adam Vinatieri kick),7,14
3,3.0,9:58,Titans,Rich Coady 24 yard interception return (Joe Nedney kick),7,21
4,4.0,9:22,Titans,Joe Nedney 28 yard field goal,7,24
