,Quarter,Tm,Detail,RCH,NYG
0,1.0,Giants,Lynn Bomar 30 yard pass from Jack McBride (Jack McBride kick),0,7
1,1.0,Giants,Dutch Hendrian 30 yard field goal,0,10
2,2.0,Giants,Dutch Hendrian 24 yard field goal,0,13
