,Quarter,Tm,Detail,PIT,GNB
0,2.0,Packers,George Sauer 3 yard rush (Ade Schwammel kick),0,7
1,2.0,Packers,Joe Laws unknown yard rush,0,13
2,2.0,Packers,Don Hutson 50 yard pass from Arnie Herber (Ernie Smith kick),0,20
3,4.0,Packers,Don Hutson 1 yard pass from Arnie Herber (Tiny Engebretsen kick),0,27
