,Quarter,Tm,Detail,NYJ,CLE
0,1.0,Jets,Freeman McNeil 3 yard rush (Pat Leahy kick),7,0
1,1.0,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),7,7
2,2.0,Jets,Pat Leahy 30 yard field goal,10,7
3,2.0,Jets,Freeman McNeil 8 yard rush (Pat Leahy kick),17,7
4,2.0,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),17,14
5,3.0,Browns,Matt Bahr 49 yard field goal,17,17
6,4.0,Browns,Matt Bahr 18 yard field goal,17,20
7,4.0,Jets,Tony Paige 1 yard rush (Pat Leahy kick),24,20
