,Quarter,Tm,Detail,PIT,IND
0,1.0,Steelers,Gary Anderson 53 yard field goal,3,0
1,2.0,Steelers,Louis Lipps 62 yard pass from David Woodley (Gary Anderson kick),10,0
2,2.0,Steelers,Gary Anderson 25 yard field goal,13,0
3,4.0,Colts,Raul Allegre 41 yard field goal,13,3
4,4.0,Colts,Alvin Moore 8 yard rush (Raul Allegre kick),13,10
5,4.0,Steelers,Gary Anderson 43 yard field goal,16,10
6,4.0,Colts,Ray Butler 54 yard pass from Mike Pagel (Raul Allegre kick),16,17
