,Quarter,Time,Tm,Detail,SEA,CAR
0,1.0,6:21,Panthers,Graham Gano 31 yard field goal,0,3
1,2.0,13:23,Panthers,Graham Gano 26 yard field goal,0,6
2,2.0,11:00,Seahawks,Stephen Hauschka 58 yard field goal,3,6
3,3.0,7:13,Seahawks,Stephen Hauschka 29 yard field goal,6,6
4,4.0,4:37,Panthers,Graham Gano 46 yard field goal,6,9
5,4.0,0:47,Seahawks,Luke Willson 23 yard pass from Russell Wilson (Stephen Hauschka kick),13,9
