,Quarter,Tm,Detail,KAN,HOU
0,1,Chiefs,Nick Lowery 31 yard field goal,3,0
1,1,Oilers,Al Del Greco 21 yard field goal,3,3
2,2,Chiefs,Nick Lowery 52 yard field goal,6,3
3,2,Chiefs,Todd McNair 5 yard pass from Dave Krieg (Nick Lowery kick),13,3
4,2,Oilers,Al Del Greco 54 yard field goal,13,6
5,4,Oilers,Leonard Harris 8 yard pass from Warren Moon (Al Del Greco kick),13,13
6,4,Oilers,Ernest Givins 21 yard pass from Warren Moon (Al Del Greco kick),13,20
7,4,Chiefs,Todd McNair 4 yard rush (Nick Lowery kick),20,20
8,OT,Oilers,Al Del Greco 39 yard field goal,20,23
