,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Ray Poole 30 yard field goal,0,3
1,2.0,Eagles,Bibbles Bawel 52 yard punt return (Bobby Walston kick),7,3
2,2.0,Eagles,Bobby Walston 19 yard pass from Bobby Thomason (Bobby Walston kick),14,3
3,3.0,Giants,Bud Sherrod blocked punt recovery in end zone (Ray Poole kick),14,10
