,Quarter,Time,Tm,Detail,MIA,PHI
0,1.0,,Eagles,Irving Fryar 38 yard pass from Ty Detmer (Gary Anderson kick),0,7
1,1.0,,Eagles,Irving Fryar 2 yard pass from Ty Detmer (Gary Anderson kick),0,14
2,1.0,,Dolphins,Joe Nedney 47 yard field goal,3,14
3,2.0,,Dolphins,Randal Hill 6 yard pass from Craig Erickson (Troy Drayton pass from Craig Erickson),11,14
4,2.0,,Eagles,Irving Fryar 12 yard pass from Ty Detmer (Gary Anderson kick),11,21
5,3.0,,Eagles,Irving Fryar 36 yard pass from Ty Detmer (Gary Anderson kick),11,28
6,4.0,,Dolphins,O.J. McDuffie 24 yard pass from Craig Erickson (Joe Nedney kick),18,28
7,4.0,,Dolphins,Joe Nedney 39 yard field goal,21,28
8,4.0,2:38,Eagles,Ricky Watters 49 yard rush (Gary Anderson kick),21,35
9,4.0,2:38,Dolphins,O.J. McDuffie 17 yard pass from Bernie Kosar (Joe Nedney kick),28,35
