,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Jerry Kramer 20 yard field goal,3,0
1,1.0,Packers,Max McGee 19 yard pass from Tom Moore (Jerry Kramer kick),10,0
2,1.0,Packers,Ron Kramer 10 yard pass from Bart Starr (Jerry Kramer kick),17,0
3,1.0,Vikings,Ed Sharockman 47 yard interception return (Fred Cox kick),17,7
4,2.0,Packers,Elijah Pitts 8 yard pass from Bart Starr (Jerry Kramer kick),24,7
5,3.0,Packers,Jerry Kramer 15 yard field goal,27,7
6,3.0,Vikings,Roy Winston 26 yard defensive fumble return (Fred Cox kick),27,14
7,4.0,Packers,Jerry Kramer 31 yard field goal,30,14
8,4.0,Vikings,Paul Flatley 29 yard pass from Fran Tarkenton (Fred Cox kick),30,21
9,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),30,28
10,4.0,Packers,Hank Gremminger 80 yard blocked field goal return (Jerry Kramer kick),37,28
