,Quarter,Tm,Detail,RAM,ATL
0,1.0,Rams,Jon Francis 2 yard pass from Steve Dils (Mike Lansford kick),7,0
1,2.0,Rams,James McDonald 13 yard pass from Steve Dils (Mike Lansford kick),14,0
2,2.0,Rams,Mike Lansford 40 yard field goal,17,0
3,3.0,Falcons,Milton Barney 5 yard pass from Erik Kramer (Greg Davis kick),17,7
4,3.0,Rams,Mike Lansford 40 yard field goal,20,7
5,4.0,Falcons,Joe McIntosh 1 yard pass from Erik Kramer (Greg Davis kick),20,14
6,4.0,Falcons,Greg Davis 35 yard field goal,20,17
7,4.0,Falcons,Lenny Taylor 19 yard pass from Erik Kramer (Greg Davis kick),20,24
