,Quarter,Time,Tm,Detail,WAS,DAL
0,1.0,7:08,Cowboys,Rocket Ismail 13 yard pass from Troy Aikman (Richie Cunningham kick),0,7
1,1.0,2:35,Cowboys,Richie Cunningham 32 yard field goal,0,10
2,2.0,8:59,Cowboys,Emmitt Smith 1 yard rush (Richie Cunningham kick),0,17
3,2.0,6:52,Redskins,Mike Sellers 33 yard pass from Brad Johnson (Brett Conway kick),7,17
4,2.0,0:54,Redskins,Brett Conway 36 yard field goal,10,17
5,3.0,10:35,Redskins,Brett Conway 24 yard field goal,13,17
6,3.0,4:41,Cowboys,David LaFleur 4 yard pass from Troy Aikman (Richie Cunningham kick),13,24
7,3.0,2:16,Redskins,Albert Connell 44 yard pass from Brad Johnson (Brett Conway kick),20,24
8,4.0,10:50,Cowboys,Troy Aikman 1 yard rush (Richie Cunningham kick),20,31
9,4.0,9:03,Cowboys,Deion Sanders 70 yard punt return (Richie Cunningham kick),20,38
