,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,Eddie Murray 24 yard field goal,3,0
1,2.0,Lions,Eddie Murray 23 yard field goal,6,0
2,2.0,Lions,Eddie Murray 49 yard field goal,9,0
3,2.0,Bears,Todd Bell 92 yard interception return (John Roveto kick),9,7
4,3.0,Lions,Eric Hipple 5 yard rush (Eddie Murray kick),16,7
5,4.0,Lions,Rick Kane 2 yard rush (Eddie Murray kick),23,7
