,Quarter,Tm,Detail,SFO,NYG
0,1.0,49ers,Dennis Patera 16 yard field goal,3,0
1,2.0,Giants,Pete Gogolak 24 yard field goal,3,3
2,2.0,49ers,Bill Tucker 33 yard pass from John Brodie,9,3
3,2.0,49ers,John David Crow 18 yard pass from John Brodie (Dennis Patera kick),16,3
4,3.0,49ers,Ken Willard 3 yard rush (Dennis Patera kick),23,3
5,4.0,Giants,Joe Morrison 9 yard pass from Fran Tarkenton (Pete Gogolak kick),23,10
6,4.0,49ers,Dennis Patera 21 yard field goal,26,10
