,Quarter,Tm,Detail,BUF,TAM
0,1.0,Buccaneers,Dave Green 39 yard field goal,0,3
1,1.0,Buccaneers,Dave Green 24 yard field goal,0,6
2,2.0,Bills,Bob Chandler 58 yard pass from Joe Ferguson (Benny Ricardo kick),7,6
3,4.0,Buccaneers,Dave Green 19 yard field goal,7,9
4,4.0,Bills,Reuben Gant 15 yard pass from Joe Ferguson (Benny Ricardo kick),14,9
