,Quarter,Tm,Detail,SEA,CIN
0,1.0,Seahawks,John Harris 29 yard interception return (Efren Herrera kick),7,0
1,1.0,Seahawks,Steve Largent 36 yard pass from Jim Zorn (Efren Herrera kick),14,0
2,1.0,Seahawks,Jim Jodat 1 yard rush (Efren Herrera kick),21,0
3,2.0,Bengals,Jim Breech 25 yard field goal,21,3
4,2.0,Bengals,Pete Johnson 3 yard rush (Jim Breech kick),21,10
5,3.0,Bengals,Jim Breech 40 yard field goal,21,13
6,3.0,Bengals,Archie Griffin 3 yard rush (Jim Breech kick),21,20
7,4.0,Bengals,Pete Johnson 2 yard rush (Jim Breech kick),21,27
