,Quarter,Tm,Detail,CIN,NWE
0,1.0,Patriots,Tony Franklin 20 yard field goal,0,3
1,1.0,Bengals,M.L. Harris 34 yard pass from Boomer Esiason (Jim Breech kick),7,3
2,2.0,Bengals,Cris Collinsworth 7 yard pass from Boomer Esiason (Jim Breech kick),14,3
3,3.0,Patriots,Tony Eason 13 yard rush (Tony Franklin kick),14,10
4,4.0,Patriots,Tony Eason 25 yard rush (Tony Franklin kick),14,17
5,4.0,Patriots,Tony Franklin 27 yard field goal,14,20
