,Quarter,Time,Tm,Detail,CAR,DET
0,1.0,11:32,Lions,Matt Prater 30 yard field goal,0,3
1,1.0,3:51,Panthers,Graham Gano 21 yard field goal,3,3
2,2.0,13:32,Lions,Zach Zenner 1 yard rush (Matt Prater kick),3,10
3,2.0,11:04,Panthers,Christian McCaffrey 6 yard pass from Cam Newton (Graham Gano kick),10,10
4,2.0,0:48,Panthers,Devin Funchess 10 yard pass from Cam Newton (Graham Gano kick),17,10
5,3.0,10:43,Panthers,Kelvin Benjamin 31 yard pass from Cam Newton (Graham Gano kick),24,10
6,3.0,9:26,Panthers,Graham Gano 44 yard field goal,27,10
7,4.0,5:48,Lions,Darren Fells 4 yard pass from Matthew Stafford (Matt Prater kick),27,17
8,4.0,3:22,Lions,Darren Fells 20 yard pass from Matthew Stafford (Matt Prater kick),27,24
