,Quarter,Tm,Detail,SDG,NOR
0,1.0,Chargers,Hank Bauer 1 yard rush (Mike Wood kick),7,0
1,1.0,Chargers,Clarence Williams 5 yard rush (Mike Wood kick),14,0
2,2.0,Chargers,John Jefferson 26 yard pass from Dan Fouts (Mike Wood kick),21,0
3,2.0,Chargers,Hank Bauer 1 yard rush (Mike Wood kick),28,0
4,2.0,Chargers,Hank Bauer 1 yard rush (Mike Wood kick),35,0
