,Quarter,Tm,Detail,CAN,FRN
0,3.0,Yellow Jackets,Max Reed blocked punt recovery in end zone (Johnny Budd kick),0,7
1,4.0,Yellow Jackets,Hap Moran 38 yard rush (Johnny Budd kick),0,14
2,4.0,Yellow Jackets,Johnny Budd 22 yard field goal,0,17
