,Quarter,Tm,Detail,NYG,BOS
0,1.0,Giants,Kink Richards unknown yard rush,6,0
1,2.0,Giants,Dale Burnett 12 yard pass from Ed Danowski (Ken Strong kick),13,0
2,2.0,Redskins,Cliff Battles 85 yard kickoff return,13,6
3,2.0,Giants,Dale Burnett 5 yard pass from Ed Danowski (Ken Strong kick),20,6
4,3.0,Redskins,Pug Rentner fumble recovery in end zone,20,12
