,Quarter,Tm,Detail,SEA,SFO
0,1.0,Seahawks,Dan Doornink 13 yard rush (Efren Herrera kick),7,0
1,1.0,49ers,O.J. Simpson 3 yard rush (Ray Wersching kick),7,7
2,1.0,Seahawks,Dan Doornink 3 yard rush (Efren Herrera kick),14,7
3,2.0,Seahawks,Sherman Smith 7 yard rush (Efren Herrera kick),21,7
4,2.0,49ers,Ray Wersching 25 yard field goal,21,10
5,3.0,Seahawks,Sammy Green 91 yard interception return (Efren Herrera kick),28,10
6,4.0,49ers,Lenvil Elliott 8 yard rush (Ray Wersching kick),28,17
7,4.0,Seahawks,Jim Zorn 2 yard rush (Efren Herrera kick),35,17
8,4.0,49ers,Ken MacAfee 1 yard pass from Steve DeBerg (Ray Wersching kick),35,24
