,Quarter,Time,Tm,Detail,MIN,GNB
0,1.0,13:20,Vikings,Moe Williams 68 yard pass from Daunte Culpepper (Morten Andersen kick),7,0
1,1.0,9:50,Vikings,Randy Moss 20 yard pass from Daunte Culpepper (Morten Andersen kick),14,0
2,1.0,6:06,Vikings,Morten Andersen 35 yard field goal,17,0
3,1.0,2:42,Packers,Ryan Longwell 43 yard field goal,17,3
4,2.0,10:24,Packers,Bubba Franks 4 yard pass from Brett Favre (Ryan Longwell kick),17,10
5,2.0,6:33,Vikings,Nate Burleson 19 yard pass from Daunte Culpepper (Morten Andersen kick),24,10
6,4.0,13:37,Packers,Najeh Davenport 1 yard rush (Ryan Longwell kick),24,17
7,4.0,10:18,Vikings,Randy Moss 34 yard pass from Daunte Culpepper (Morten Andersen kick),31,17
