,Quarter,Tm,Detail,NOR,PHO
0,1.0,Saints,Brad Muster 1 yard rush (Morten Andersen kick),7,0
1,1.0,Cardinals,Greg Davis 28 yard field goal,7,3
2,1.0,Cardinals,Aeneas Williams 20 yard defensive fumble return (Greg Davis kick),7,10
3,2.0,Cardinals,Aeneas Williams 46 yard interception return (Greg Davis kick),7,17
4,3.0,Saints,Morten Andersen 48 yard field goal,10,17
5,4.0,Saints,Quinn Early 25 yard pass from Wade Wilson (Morten Andersen kick),17,17
6,4.0,Saints,Morten Andersen 38 yard field goal,20,17
