,Quarter,Time,Tm,Detail,BAL,TEN
0,3.0,10:13,Titans,Joe Nedney 27 yard field goal,0,3
1,3.0,6:45,Ravens,Matt Stover 31 yard field goal,3,3
2,3.0,2:29,Titans,Kevin Dyson 22 yard pass from Steve McNair (Joe Nedney kick),3,10
3,3.0,0:05,Ravens,Qadry Ismail 57 yard pass from Elvis Grbac (Matt Stover kick),10,10
4,4.0,13:26,Ravens,Matt Stover 33 yard field goal,13,10
5,4.0,3:06,Ravens,Matt Stover 30 yard field goal,16,10
