,Quarter,Time,Tm,Detail,NYJ,MIA
0,1,9:14,Dolphins,Daniel Thomas 1 yard rush (Dan Carpenter kick),0,7
1,2,8:26,Dolphins,Dan Carpenter 21 yard field goal,0,10
2,2,1:50,Jets,Nick Folk 33 yard field goal,3,10
3,3,14:16,Jets,LaRon Landry 18 yard interception return (Nick Folk kick),10,10
4,3,1:45,Dolphins,Jorvorskie Lane 1 yard rush (Dan Carpenter kick),10,17
5,4,13:29,Jets,Nick Folk 20 yard field goal,13,17
6,4,3:01,Jets,Jeremy Kerley 7 yard pass from Mark Sanchez (Nick Folk kick),20,17
7,4,0:16,Dolphins,Dan Carpenter 41 yard field goal,20,20
8,OT,6:04,Jets,Nick Folk 33 yard field goal,23,20
