,Quarter,Tm,Detail,KAN,MIN
0,2.0,Vikings,Fred Cox 20 yard field goal,0,3
1,2.0,Vikings,Roy Winston 36 yard defensive fumble return (Fred Cox kick),0,10
2,2.0,Chiefs,Otis Taylor 59 yard pass from Len Dawson (Jan Stenerud kick),7,10
3,2.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),7,17
4,3.0,Chiefs,Jan Stenerud 26 yard field goal,10,17
5,4.0,Vikings,Oscar Reed 1 yard rush (Fred Cox kick),10,24
6,4.0,Vikings,Fred Cox 40 yard field goal,10,27
