,Quarter,Time,Tm,Detail,GNB,MIN
0,1.0,7:31,Packers,Mason Crosby 31 yard field goal,3,0
1,1.0,3:27,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),3,7
2,2.0,11:43,Packers,"Safety, Kirk Cousins sacked in end zone by Jaire Alexander",5,7
3,2.0,8:12,Packers,Mason Crosby 43 yard field goal,8,7
4,2.0,0:47,Packers,Davante Adams 24 yard pass from Aaron Rodgers (Mason Crosby kick),15,7
5,2.0,0:21,Packers,Marquez Valdes-Scantling 45 yard pass from Aaron Rodgers (Mason Crosby kick),22,7
6,2.0,0:02,Vikings,Dan Bailey 35 yard field goal,22,10
7,3.0,0:12,Packers,Davante Adams 1 yard pass from Aaron Rodgers (Mason Crosby kick),29,10
8,4.0,14:01,Vikings,Adam Thielen 37 yard pass from Kirk Cousins (Dalvin Cook run),29,18
9,4.0,10:09,Packers,Allen Lazard 4 yard pass from Aaron Rodgers (Mason Crosby kick),36,18
10,4.0,7:59,Vikings,Dalvin Cook 3 yard rush (Dalvin Cook run),36,26
11,4.0,3:24,Packers,Aaron Jones 5 yard rush (Mason Crosby kick),43,26
12,4.0,1:25,Vikings,Adam Thielen 19 yard pass from Kirk Cousins (Adam Thielen pass from Kirk Cousins ),43,34
