,Quarter,Tm,Detail,OAK,SDG
0,1.0,Raiders,Raymond Chester 65 yard pass from Jim Plunkett (Chris Bahr kick),7,0
1,1.0,Chargers,Charlie Joiner 48 yard pass from Dan Fouts (Rolf Benirschke kick),7,7
2,1.0,Raiders,Jim Plunkett 5 yard rush (Chris Bahr kick),14,7
3,1.0,Raiders,Kenny King 21 yard pass from Jim Plunkett (Chris Bahr kick),21,7
4,2.0,Raiders,Mark van Eeghen 3 yard rush (Chris Bahr kick),28,7
5,2.0,Chargers,Charlie Joiner 8 yard pass from Dan Fouts (Rolf Benirschke kick),28,14
6,3.0,Chargers,Rolf Benirschke 26 yard field goal,28,17
7,3.0,Chargers,Chuck Muncie 6 yard rush (Rolf Benirschke kick),28,24
8,3.0,Raiders,Chris Bahr 27 yard field goal,31,24
9,4.0,Raiders,Chris Bahr 33 yard field goal,34,24
10,4.0,Chargers,Rolf Benirschke 27 yard field goal,34,27
