,Quarter,Time,Tm,Detail,MIN,TAM
0,1.0,,Buccaneers,Warrick Dunn 10 yard rush (Michael Husted kick),0,7
1,1.0,,Vikings,Robert Smith 9 yard rush (Gary Anderson kick),7,7
2,2.0,,Buccaneers,Reidel Anthony 12 yard pass from Trent Dilfer (Michael Husted kick),7,14
3,2.0,,Vikings,Jake Reed 44 yard pass from Randall Cunningham (Gary Anderson kick),14,14
4,2.0,0:40,Buccaneers,Michael Husted 29 yard field goal,14,17
5,2.0,0:07,Vikings,Gary Anderson 44 yard field goal,17,17
6,3.0,0:07,Vikings,Jake Reed 1 yard pass from Randall Cunningham (Gary Anderson kick),24,17
7,4.0,0:07,Buccaneers,Michael Husted 38 yard field goal,24,20
8,4.0,0:07,Buccaneers,Mike Alstott 6 yard rush (Michael Husted kick),24,27
