,Quarter,Tm,Detail,NOR,MIA
0,1.0,Dolphins,Lloyd Mumphord 32 yard interception return (Garo Yepremian kick),0,7
1,1.0,Saints,Tom Barrington 11 yard rush (Tom Dempsey kick),7,7
2,1.0,Saints,Tom Dempsey 10 yard field goal,10,7
3,3.0,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),10,14
4,4.0,Dolphins,Larry Csonka 6 yard rush (Garo Yepremian kick),10,21
