,Quarter,Tm,Detail,BUF,IND
0,1.0,Colts,Eric Dickerson 1 yard rush (Dean Biasucci kick),0,7
1,1.0,Colts,Jack Trudeau 1 yard rush (Dean Biasucci kick),0,14
2,2.0,Colts,Dean Biasucci 32 yard field goal,0,17
3,2.0,Colts,Dean Biasucci 46 yard field goal,0,20
4,3.0,Colts,Dean Biasucci 25 yard field goal,0,23
5,3.0,Bills,Andre Reed 16 yard pass from Jim Kelly (Scott Norwood kick),7,23
6,4.0,Colts,Eric Dickerson 4 yard rush (Dean Biasucci kick),7,30
7,4.0,Bills,Kenneth Davis 17 yard pass from Frank Reich (Scott Norwood kick),14,30
8,4.0,Colts,Keith Taylor 80 yard interception return (Dean Biasucci kick),14,37
