,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Mark Moseley 34 yard field goal,0,3
1,1.0,Redskins,Mark Moseley 33 yard field goal,0,6
2,2.0,Cardinals,J.V. Cain 8 yard pass from Jim Hart (Jim Bakken kick),7,6
3,4.0,Cardinals,Jim Bakken 32 yard field goal,10,6
4,4.0,Redskins,Mike Thomas 7 yard rush (Mark Moseley kick),10,13
5,4.0,Redskins,Eddie Brown 71 yard punt return (Mark Moseley kick),10,20
