,Quarter,Tm,Detail,NYJ,SDG
0,1.0,Jets,Pat Leahy 38 yard field goal,3,0
1,1.0,Chargers,Marion Butts 1 yard rush (John Carney kick),3,7
2,2.0,Chargers,Marion Butts 4 yard rush (John Carney kick),3,14
3,2.0,Jets,Al Toon 21 yard pass from Ken O'Brien (Pat Leahy kick),10,14
4,2.0,Chargers,John Carney 22 yard field goal,10,17
5,3.0,Chargers,Anthony Miller 24 yard pass from Billy Joe Tolliver (John Carney kick),10,24
6,4.0,Jets,Al Toon 8 yard pass from Ken O'Brien (Pat Leahy kick),17,24
7,4.0,Chargers,Nate Lewis 19 yard pass from Billy Joe Tolliver (John Carney kick),17,31
8,4.0,Chargers,Nate Lewis 10 yard rush (John Carney kick),17,38
