,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Leroy Keyes 2 yard rush (Sam Baker kick),7,0
1,2.0,Redskins,Larry Brown 1 yard rush (Curt Knight kick),7,7
2,3.0,Redskins,Charlie Harraway 15 yard pass from Sonny Jurgensen (Curt Knight kick),7,14
3,3.0,Eagles,Ben Hawkins 4 yard pass from Norm Snead (Sam Baker kick),14,14
4,4.0,Redskins,Charley Taylor 3 yard pass from Sonny Jurgensen (Curt Knight kick),14,21
5,4.0,Redskins,Sam Huff 18 yard interception return (Curt Knight kick),14,28
6,4.0,Eagles,Tom Woodeshick 1 yard rush (Sam Baker kick),21,28
7,4.0,Eagles,Norm Snead 1 yard rush (Sam Baker kick),28,28
