,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Homer Jones 75 yard pass from Earl Morrall (Pete Gogolak kick),7,0
1,1.0,Steelers,Gary Ballman 9 yard pass from Bill Nelsen (Mike Clark kick),7,7
2,2.0,Giants,Bobby Crespino 19 yard pass from Earl Morrall (Pete Gogolak kick),14,7
3,2.0,Steelers,Willie Asbury 6 yard rush (Mike Clark kick),14,14
4,2.0,Giants,Pete Gogolak 26 yard field goal,17,14
5,3.0,Steelers,Jerry Simmons 21 yard pass from Bill Nelsen (Mike Clark kick),17,21
6,3.0,Steelers,Mike Clark 25 yard field goal,17,24
7,3.0,Steelers,John Hilton 31 yard pass from Bill Nelsen (Mike Clark kick),17,31
8,4.0,Giants,Pete Gogolak 14 yard field goal,20,31
9,4.0,Giants,Homer Jones 98 yard pass from Earl Morrall (Pete Gogolak kick),27,31
10,4.0,Giants,Wendell Harris 72 yard defensive fumble return (Pete Gogolak kick),34,31
11,4.0,Steelers,Mike Clark 41 yard field goal,34,34
