,Quarter,Tm,Detail,NYJ,GNB
0,1.0,Packers,David Whitehurst 2 yard rush,0,6
1,2.0,Packers,John Anderson 39 yard field goal,0,9
2,2.0,Jets,Kevin Long 1 yard rush (Toni Linhart kick),7,9
3,2.0,Jets,Jerome Barkum 32 yard pass from Richard Todd (Toni Linhart kick),14,9
4,2.0,Packers,Aundra Thompson 100 yard kickoff return,14,15
5,2.0,Jets,Bruce Harper 6 yard pass from Richard Todd (Toni Linhart kick),21,15
6,3.0,Jets,Toni Linhart 24 yard field goal,24,15
7,3.0,Packers,Eric Torkelson 2 yard rush (John Anderson kick),24,22
8,4.0,Jets,Toni Linhart 39 yard field goal,27,22
