,Quarter,Tm,Detail,CRD,PIT
0,2.0,Steelers,Ben Agajanian 15 yard field goal,0,3
1,4.0,Steelers,Bill Dudley 1 yard rush (Bill Dudley kick),0,10
2,4.0,Steelers,Bill Dudley 1 yard rush,0,16
3,4.0,Steelers,Buss Warren 75 yard rush (Bill Dudley kick),0,23
