,Quarter,Time,Tm,Detail,NYG,STL
0,1.0,3:24,Rams,Jeff Wilkins 47 yard field goal,0,3
1,2.0,13:31,Rams,Az-Zahir Hakim 3 yard pass from Kurt Warner (Jeff Wilkins kick),0,10
2,3.0,10:08,Giants,Cary Blanchard 23 yard field goal,3,10
3,3.0,5:25,Rams,Devin Bush Sr. 45 yard interception return (Jeff Wilkins kick),3,17
4,4.0,13:58,Rams,Az-Zahir Hakim 65 yard pass from Kurt Warner (Jeff Wilkins kick),3,24
5,4.0,7:10,Rams,Mike Jones 22 yard interception return (Jeff Wilkins kick),3,31
6,4.0,4:48,Giants,Ike Hilliard 7 yard pass from Kerry Collins (Cary Blanchard kick),10,31
