,Quarter,Tm,Detail,BAL,DET
0,2.0,Colts,Marty Domres 1 yard rush (George Hunt kick),7,0
1,2.0,Colts,George Hunt 14 yard field goal,10,0
2,2.0,Lions,Jim O'Brien 13 yard field goal,10,3
3,2.0,Lions,Jim O'Brien 36 yard field goal,10,6
4,3.0,Lions,Greg Landry 2 yard rush (Jim O'Brien kick),10,13
5,3.0,Colts,Glenn Doughty 66 yard pass from Marty Domres,16,13
6,4.0,Colts,Don McCauley 14 yard rush (George Hunt kick),23,13
7,4.0,Colts,George Hunt 20 yard field goal,26,13
8,4.0,Colts,George Hunt 29 yard field goal,29,13
9,4.0,Lions,Greg Landry 4 yard rush (Jim O'Brien kick),29,20
10,4.0,Lions,Charlie Sanders 5 yard pass from Greg Landry (Jim O'Brien kick),29,27
