,Quarter,Tm,Detail,DEN,SEA
0,1.0,Seahawks,Daryl Turner 41 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,2.0,Seahawks,Norm Johnson 29 yard field goal,0,10
2,2.0,Seahawks,Terry Taylor 15 yard blocked punt return (Norm Johnson kick),0,17
3,2.0,Broncos,Steve Watson 17 yard pass from John Elway (Rich Karlis kick),7,17
4,2.0,Broncos,Rich Karlis 25 yard field goal,10,17
5,4.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),17,17
6,4.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),17,24
7,4.0,Broncos,Steve Sewell 1 yard rush (Rich Karlis kick),24,24
8,4.0,Broncos,Rich Karlis 43 yard field goal,27,24
