,Quarter,Time,Tm,Detail,DAL,PIT
0,2.0,,Cowboys,Anthony Miller 12 yard pass from Troy Aikman (Richie Cunningham kick),7,0
1,2.0,,Cowboys,Michael Irvin 42 yard pass from Troy Aikman (Richie Cunningham kick),14,0
2,2.0,,Cowboys,Richie Cunningham 52 yard field goal,17,0
3,3.0,,Cowboys,Michael Irvin 15 yard pass from Troy Aikman (Richie Cunningham kick),24,0
4,3.0,,Cowboys,Richie Cunningham 24 yard field goal,27,0
5,3.0,,Cowboys,Daryl Johnston 13 yard pass from Troy Aikman (Richie Cunningham kick),34,0
6,4.0,,Cowboys,Richie Cunningham 28 yard field goal,37,0
7,4.0,,Steelers,Mark Bruener 4 yard pass from Kordell Stewart (Norm Johnson kick),37,7
