,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Len Younce 30 yard interception return (Ward Cuff kick),7,0
1,1.0,Giants,Bill Paschal 1 yard rush (Ward Cuff kick),14,0
2,2.0,Eagles/Steelers,Ernie Steele 4 yard rush (Roy Zimmerman kick),14,7
3,4.0,Eagles/Steelers,Bob Thurbon 11 yard pass from Roy Zimmerman (Roy Zimmerman kick),14,14
4,4.0,Eagles/Steelers,Tom Miller 31 yard pass from Roy Zimmerman (Roy Zimmerman kick),14,21
5,4.0,Eagles/Steelers,Allie Sherman 4 yard rush (Gordon Paschka kick),14,28
