,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Jets,Pat Leahy 29 yard field goal,0,3
1,2.0,Jets,Pat Leahy 49 yard field goal,0,6
2,2.0,Dolphins,Tony Nathan 4 yard rush (Uwe von Schamann kick),7,6
3,2.0,Dolphins,"Safety, Gordon tackled Todd in end zone",9,6
4,2.0,Dolphins,Uwe von Schamann 46 yard field goal,12,6
5,4.0,Jets,Pat Leahy 45 yard field goal,12,9
6,4.0,Dolphins,Uwe von Schamann 23 yard field goal,15,9
7,4.0,Jets,Jerome Barkum 11 yard pass from Richard Todd (Pat Leahy kick),15,16
