,Quarter,Tm,Detail,PRV,NYG
0,2.0,Giants,Dale Burnett 2 yard rush,0,6
1,3.0,Giants,Mule Wilson 50 yard pass from Benny Friedman (Dale Burnett kick),0,13
2,4.0,Giants,Red Badgro 15 yard pass from Benny Friedman,0,19
3,4.0,Giants,Dale Burnett 25 yard pass from Benny Friedman,0,25
