,Quarter,Tm,Detail,DET,CLE
0,1.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),0,7
1,3.0,Lions,Dorne Dibble 26 yard pass from Bobby Layne (Doak Walker kick),7,7
2,3.0,Browns,Lou Groza 44 yard field goal,7,10
3,4.0,Lions,Jug Girard 11 yard pass from Bobby Layne (Doak Walker kick),14,10
