,Quarter,Time,Tm,Detail,KAN,CIN
0,2.0,6:18,Bengals,Shayne Graham 27 yard field goal,0,3
1,2.0,0:00,Chiefs,Morten Andersen 37 yard field goal,3,3
2,3.0,10:32,Chiefs,Morten Andersen 39 yard field goal,6,3
3,3.0,5:04,Bengals,Jeremi Johnson 13 yard pass from Jon Kitna (Shayne Graham kick),6,10
4,4.0,12:47,Bengals,Peter Warrick 68 yard punt return (Shayne Graham kick),6,17
5,4.0,6:24,Chiefs,Tony Gonzalez 12 yard pass from Trent Green (pass failed),12,17
6,4.0,6:05,Bengals,Peter Warrick 77 yard pass from Jon Kitna (Shayne Graham kick),12,24
7,4.0,3:19,Chiefs,Jason Dunn 3 yard pass from Trent Green (Morten Andersen kick),19,24
