,Quarter,Tm,Detail,SDG,NYG
0,1.0,Giants,Joe Dawkins 1 yard rush (George Hunt kick),0,7
1,1.0,Chargers,Rickey Young 48 yard rush (Ray Wersching kick),7,7
2,1.0,Giants,Joe Dawkins 14 yard rush (George Hunt kick),7,14
3,2.0,Chargers,Dan Fouts 1 yard rush (Ray Wersching kick),14,14
4,2.0,Giants,Ray Rhodes 24 yard pass from Craig Morton (George Hunt kick),14,21
5,3.0,Chargers,Dwight McDonald 30 yard pass from Dan Fouts (Ray Wersching kick),21,21
6,3.0,Giants,Bob Tucker 47 yard pass from Craig Morton (George Hunt kick),21,28
7,4.0,Chargers,Ray Wersching 26 yard field goal,24,28
8,4.0,Giants,Ron Johnson 1 yard rush (George Hunt kick),24,35
