,Quarter,Tm,Detail,STL,MIA
0,1.0,Dolphins,Garo Yepremian 34 yard field goal,0,3
1,1.0,Dolphins,Nat Moore 2 yard pass from Don Strock (Garo Yepremian kick),0,10
2,2.0,Cardinals,Jim Thaxton 1 yard pass from Jim Hart (Jim Bakken kick),7,10
3,2.0,Cardinals,Jim Bakken 40 yard field goal,10,10
4,3.0,Dolphins,Nat Moore 46 yard pass from Don Strock (Garo Yepremian kick),10,17
5,4.0,Dolphins,Delvin Williams 1 yard rush (Garo Yepremian kick),10,24
