,Quarter,Tm,Detail,CLE,CIN
0,1.0,Bengals,James Brooks 8 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,2.0,Browns,Earnest Byner 27 yard pass from Bernie Kosar (Matt Bahr kick),7,7
2,2.0,Bengals,Charles Alexander 1 yard rush (Jim Breech kick),7,14
3,3.0,Bengals,Jim Breech 28 yard field goal,7,17
4,3.0,Browns,Matt Bahr 39 yard field goal,10,17
5,4.0,Bengals,Jim Breech 33 yard field goal,10,20
6,4.0,Bengals,Larry Kinnebrew 3 yard rush (Jim Breech kick),10,27
