,Quarter,Tm,Detail,CLE,PIT
0,2.0,Steelers,Gary Anderson 36 yard field goal,0,3
1,2.0,Browns,Matt Stover 36 yard field goal,3,3
2,2.0,Browns,Matt Stover 47 yard field goal,6,3
3,2.0,Browns,Matt Stover 44 yard field goal,9,3
4,3.0,Steelers,Gary Anderson 38 yard field goal,9,6
5,4.0,Steelers,Eric Green 14 yard pass from Neil O'Donnell (Gary Anderson kick),9,13
6,4.0,Steelers,Gary Anderson 26 yard field goal,9,16
