,Quarter,Tm,Detail,ATL,PHI
0,1.0,Falcons,Tim Mazzetti 26 yard field goal,3,0
1,2.0,Eagles,Harold Carmichael 22 yard pass from Ron Jaworski (Tony Franklin kick),3,7
2,2.0,Eagles,John Spagnola 15 yard pass from Louie Giammona (Tony Franklin kick),3,14
3,2.0,Falcons,Wallace Francis 11 yard pass from Steve Bartkowski (Tim Mazzetti kick),10,14
4,3.0,Falcons,Lynn Cain 12 yard pass from Steve Bartkowski (Tim Mazzetti kick),17,14
5,4.0,Eagles,Tony Franklin 40 yard field goal,17,17
6,4.0,Falcons,Tim Mazzetti 37 yard field goal,20,17
