,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chargers,Tim Spencer 9 yard rush (Chris Bahr kick),0,7
1,1.0,Chiefs,Nick Lowery 23 yard field goal,3,7
2,2.0,Chiefs,Nick Lowery 31 yard field goal,6,7
3,3.0,Chargers,Rod Bernstine 1 yard pass from Jim McMahon (Chris Bahr kick),6,14
4,4.0,Chargers,Rod Bernstine 32 yard rush (Chris Bahr kick),6,21
