,Quarter,Tm,Detail,WAS,PHI
0,2.0,Redskins,Chip Lohmiller 29 yard field goal,3,0
1,2.0,Eagles,Heath Sherman 21 yard rush (Roger Ruzek kick),3,7
2,2.0,Redskins,Ricky Sanders 62 yard pass from Mark Rypien (Chip Lohmiller kick),10,7
3,2.0,Redskins,Chip Lohmiller 41 yard field goal,13,7
4,3.0,Eagles,Calvin Williams 28 yard pass from Randall Cunningham (Roger Ruzek kick),13,14
5,4.0,Eagles,Roger Ruzek 23 yard field goal,13,17
