,Quarter,Tm,Detail,OOR,MIN
0,2.0,Marines,Eber Sampson 4 yard rush (Ave Kaplan kick),0,7
1,2.0,Marines,Ave Kaplan 35 yard field goal,0,10
2,3.0,Marines,Rudy Tersch 25 yard fumble return (Ave Kaplan kick),0,17
3,4.0,Marines,Ave Kaplan unknown yard pass from Bill Irgens,0,23
